Player,Tm,PTS,TRB,AST,Date
Anthony Davis,LAL,38,11,2,2024-11-01
Nikola Vučević,CHI,28,11,3,2024-11-01
Zion Williamson,NOP,34,6,10,2024-11-01
Nikola Jokić,DEN,26,9,13,2024-11-01
Aaron Gordon,DEN,31,11,2,2024-11-01
Jalen Brunson,NYK,36,1,5,2024-11-01
RJ Barrett,TOR,33,5,12,2024-11-01
LeBron James,LAL,27,6,10,2024-11-01
Shai Gilgeous-Alexander,OKC,30,7,6,2024-11-01
Jayson Tatum,BOS,32,11,3,2024-11-01
Jalen Suggs,ORL,28,8,7,2024-11-01
De'Aaron Fox,SAC,31,7,3,2024-11-01
DeMar DeRozan,SAC,27,8,2,2024-11-01
Gradey Dick,TOR,31,7,3,2024-11-01
OG Anunoby,NYK,21,4,6,2024-11-01
Jakob Poeltl,TOR,19,12,6,2024-11-01
Karl-Anthony Towns,NYK,21,11,7,2024-11-01
Jalen Williams,OKC,22,5,4,2024-11-01
Cam Thomas,BRK,32,0,4,2024-11-01
Michael Porter,DEN,26,6,4,2024-11-01
Anthony Edwards,MIN,29,4,4,2024-11-01
Jaylen Brown,BOS,25,6,5,2024-11-01
Julius Randle,MIN,23,6,7,2024-11-01
Rudy Gobert,MIN,17,14,3,2024-11-01
Brandon Ingram,NOP,26,6,7,2024-11-01
Garrison Mathews,ATL,23,1,2,2024-11-01
Cade Cunningham,DET,22,6,6,2024-11-01
Darius Garland,CLE,25,3,4,2024-11-01
Trae Young,ATL,25,5,12,2024-11-01
Tre Mann,CHO,23,4,5,2024-11-01
Austin Reaves,LAL,20,1,6,2024-11-01
Mikal Bridges,NYK,15,7,3,2024-11-01
LaMelo Ball,CHO,31,2,4,2024-11-01
Tristan Da Silva,ORL,17,5,2,2024-11-01
Ben Sheppard,IND,20,3,1,2024-11-01
Jordan Hawkins,NOP,23,4,1,2024-11-01
Clint Capela,ATL,15,10,1,2024-11-01
Cameron Johnson,BRK,14,6,5,2024-11-01
D'Angelo Russell,LAL,19,3,6,2024-11-01
Josh Hart,NYK,13,9,4,2024-11-01
Naz Reid,MIN,16,3,2,2024-11-01
Jalen Johnson,ATL,14,5,9,2024-11-01
Donovan Mitchell,CLE,22,3,1,2024-11-01
Coby White,CHI,21,4,4,2024-11-01
Tobias Harris,DET,13,8,3,2024-11-01
Domantas Sabonis,SAC,15,14,6,2024-11-01
Bennedict Mathurin,IND,19,6,3,2024-11-01
Ben Simmons,BRK,8,8,11,2024-11-01
Brandon Boston,NOP,14,2,2,2024-11-01
Cason Wallace,OKC,13,1,3,2024-11-01
Jose Alvarado,NOP,12,6,7,2024-11-01
Evan Mobley,CLE,14,12,3,2024-11-01
Pascal Siakam,IND,16,5,6,2024-11-01
Aaron Wiggins,OKC,13,8,2,2024-11-01
Nic Claxton,BRK,12,9,2,2024-11-01
Deandre Ayton,POR,14,5,2,2024-11-01
Keegan Murray,SAC,14,10,3,2024-11-01
Keon Johnson,BRK,12,3,1,2024-11-01
Keon Ellis,SAC,12,1,2,2024-11-01
Jerami Grant,POR,17,3,2,2024-11-01
Derrick White,BOS,17,2,5,2024-11-01
Zach LaVine,CHI,21,1,2,2024-11-01
Keaton Wallace,ATL,14,3,3,2024-11-01
Tyrese Haliburton,IND,11,2,11,2024-11-01
Nickeil Alexander-Walker,MIN,8,2,5,2024-11-01
Onyeka Okongwu,ATL,11,4,1,2024-11-01
T.J. McConnell,IND,10,3,9,2024-11-01
Neemias Queta,BOS,12,6,1,2024-11-01
Toumani Camara,POR,13,3,2,2024-11-01
Luguentz Dort,OKC,8,5,2,2024-11-01
Rayan Rupert,POR,14,2,0,2024-11-01
Aaron Nesmith,IND,12,1,1,2024-11-01
Dennis Schröder,BRK,9,7,7,2024-11-01
Moritz Wagner,ORL,14,5,0,2024-11-01
Jrue Holiday,BOS,14,5,1,2024-11-01
Tidjane Salaün,CHO,9,6,1,2024-11-01
Payton Pritchard,BOS,7,2,3,2024-11-01
Dalano Banton,POR,11,0,3,2024-11-01
Franz Wagner,ORL,17,8,6,2024-11-01
Caris LeVert,CLE,13,3,7,2024-11-01
Ty Jerome,CLE,9,6,2,2024-11-01
Christian Braun,DEN,14,7,2,2024-11-01
Noah Clowney,BRK,7,4,1,2024-11-01
Luke Kornet,BOS,5,4,1,2024-11-01
Miles McBride,NYK,10,3,2,2024-11-01
Moussa Diabaté,CHO,7,7,1,2024-11-01
Javonte Green,NOP,7,4,0,2024-11-01
Miles Bridges,CHO,14,7,3,2024-11-01
Ousmane Dieng,OKC,11,3,2,2024-11-01
Isaiah Joe,OKC,12,5,2,2024-11-01
Simone Fontecchio,DET,12,4,0,2024-11-01
Malik Monk,SAC,9,4,6,2024-11-01
Anfernee Simons,POR,9,4,6,2024-11-01
Max Christie,LAL,7,5,1,2024-11-01
Isaiah Jackson,IND,6,8,1,2024-11-01
Jonathan Mogbo,TOR,6,6,3,2024-11-01
Dorian Finney-Smith,BRK,9,5,0,2024-11-01
Chet Holmgren,OKC,6,1,3,2024-11-01
Donte DiVincenzo,MIN,7,8,6,2024-11-01
Sam Hauser,BOS,6,5,2,2024-11-01
Jaxson Hayes,LAL,4,6,0,2024-11-01
Jett Howard,ORL,9,3,0,2024-11-01
David Roddy,ATL,8,8,2,2024-11-01
Luke Travers,CLE,4,2,2,2024-11-01
Ziaire Williams,BRK,10,3,0,2024-11-01
Seth Curry,CHO,8,2,0,2024-11-01
Yves Missi,NOP,4,10,0,2024-11-01
Isaac Okoro,CLE,9,1,0,2024-11-01
Kentavious Caldwell-Pope,ORL,7,1,1,2024-11-01
Dillon Jones,OKC,7,4,2,2024-11-01
Davion Mitchell,TOR,10,3,5,2024-11-01
Mike Conley,MIN,9,0,5,2024-11-01
Josh Giddey,CHI,11,6,8,2024-11-01
Paul Reed,DET,5,2,1,2024-11-01
Chris Boucher,TOR,9,2,1,2024-11-01
Scoot Henderson,POR,8,3,5,2024-11-01
Jamal Murray,DEN,6,2,3,2024-11-01
Ochai Agbaji,TOR,8,2,3,2024-11-01
Ron Holland,DET,9,2,1,2024-11-01
Grant Williams,CHO,6,7,3,2024-11-01
Jalen Duren,DET,5,7,2,2024-11-01
Ajay Mitchell,OKC,8,2,2,2024-11-01
Georges Niang,CLE,7,3,2,2024-11-01
Dean Wade,CLE,5,3,2,2024-11-01
Kevin Huerter,SAC,10,2,4,2024-11-01
Cory Joseph,ORL,3,1,2,2024-11-01
Jonathan Isaac,ORL,5,4,0,2024-11-01
Dalen Terry,CHI,5,2,1,2024-11-01
Alex Caruso,OKC,6,3,2,2024-11-01
Jaden McDaniels,MIN,10,0,1,2024-11-01
Sam Merrill,CLE,6,2,1,2024-11-01
Jordan Walsh,BOS,6,0,0,2024-11-01
Anthony Black,ORL,7,2,6,2024-11-01
Tim Hardaway,DET,8,1,3,2024-11-01
Isaiah Stewart,DET,2,2,2,2024-11-01
Daniel Theis,NOP,3,5,1,2024-11-01
Jaden Ivey,DET,10,5,2,2024-11-01
Kris Murray,POR,9,3,0,2024-11-01
Jalen Smith,CHI,5,5,0,2024-11-01
Jarrett Allen,CLE,2,11,1,2024-11-01
Tyler Kolek,NYK,4,1,0,2024-11-01
Deni Avdija,POR,11,3,4,2024-11-01
Jarace Walker,IND,5,2,1,2024-11-01
Cody Martin,CHO,7,3,1,2024-11-01
Russell Westbrook,DEN,5,6,5,2024-11-01
Donovan Clingan,POR,3,7,0,2024-11-01
Trey Lyles,SAC,5,5,2,2024-11-01
Jalen Wilson,BRK,7,1,3,2024-11-01
Rui Hachimura,LAL,9,5,1,2024-11-01
Tristan Thompson,CLE,4,0,0,2024-11-01
Myles Turner,IND,12,4,2,2024-11-01
Ayo Dosunmu,CHI,10,7,3,2024-11-01
Obi Toppin,IND,7,5,0,2024-11-01
Jabari Walker,POR,2,3,3,2024-11-01
Talen Horton-Tucker,CHI,3,0,1,2024-11-01
Jacob Toppin,NYK,2,1,1,2024-11-01
Ja'Kobe Walter,TOR,5,6,1,2024-11-01
Dalton Knecht,LAL,5,3,1,2024-11-01
Cameron Payne,NYK,4,1,3,2024-11-01
Pacome Dadiet,NYK,2,1,0,2024-11-01
Duop Reath,POR,3,0,0,2024-11-01
Nick Richards,CHO,1,3,1,2024-11-01
Wendell Moore,DET,2,1,1,2024-11-01
Patrick Williams,CHI,6,6,1,2024-11-01
Malik Beasley,DET,8,0,1,2024-11-01
Hunter Tyson,DEN,2,1,0,2024-11-01
Julian Phillips,CHI,2,2,1,2024-11-01
Marcus Sasser,DET,2,0,1,2024-11-01
Jeremiah Robinson-Earl,NOP,2,3,0,2024-11-01
Julian Strawther,DEN,4,1,1,2024-11-01
Malevy Leons,OKC,1,1,1,2024-11-01
Joe Ingles,MIN,0,1,1,2024-11-01
D.J. Carton,TOR,0,0,0,2024-11-01
JD Davison,BOS,0,0,0,2024-11-01
Bronny James,LAL,0,0,0,2024-11-01
Adama Sanogo,CHI,0,0,0,2024-11-01
Jaden Springer,BOS,0,0,0,2024-11-01
Jericho Sims,NYK,0,6,0,2024-11-01
Colby Jones,SAC,0,0,0,2024-11-01
Cole Anthony,ORL,2,1,2,2024-11-01
Peyton Watson,DEN,2,1,0,2024-11-01
Larry Nance,ATL,2,3,0,2024-11-01
Dario Šarić,DEN,0,2,0,2024-11-01
Gabe Vincent,LAL,2,3,2,2024-11-01
Jamal Shead,TOR,4,1,1,2024-11-01
Caleb Houstan,ORL,0,0,0,2024-11-01
Daniss Jenkins,DET,0,0,0,2024-11-01
Jamal Cain,NOP,0,0,0,2024-11-01
Josh Green,CHO,3,1,1,2024-11-01
Ariel Hukporti,NYK,0,0,0,2024-11-01
Gary Harris,ORL,0,1,0,2024-11-01
Zaccharie Risacher,ATL,3,1,0,2024-11-01
Damian Lillard,MIL,41,4,9,2024-11-02
Giannis Antetokounmpo,MIL,34,16,9,2024-11-02
Nikola Jokić,DEN,27,16,9,2024-11-02
Bam Adebayo,MIA,32,14,2,2024-11-02
Jaren Jackson,MEM,27,6,0,2024-11-02
LaMelo Ball,CHO,36,4,6,2024-11-02
Tari Eason,HOU,27,9,1,2024-11-02
Devin Booker,PHO,28,9,9,2024-11-02
Domantas Sabonis,SAC,17,20,10,2024-11-02
Buddy Hield,GSW,27,7,2,2024-11-02
Shai Gilgeous-Alexander,OKC,25,3,9,2024-11-02
RJ Barrett,TOR,31,9,6,2024-11-02
Keldon Johnson,SAS,25,8,0,2024-11-02
Ochai Agbaji,TOR,22,5,2,2024-11-02
Luke Kornet,BOS,19,4,3,2024-11-02
Donovan Mitchell,CLE,30,3,4,2024-11-02
Chris Paul,SAS,15,4,13,2024-11-02
Chris Boucher,TOR,24,5,1,2024-11-02
Walker Kessler,UTA,18,14,0,2024-11-02
Bilal Coulibaly,WAS,22,8,2,2024-11-02
DeMar DeRozan,SAC,33,3,4,2024-11-02
Jay Huff,MEM,20,5,1,2024-11-02
Jayson Tatum,BOS,29,7,3,2024-11-02
Jeremy Sochan,SAS,19,10,4,2024-11-02
Norman Powell,LAC,24,2,2,2024-11-02
Alex Sarr,WAS,17,6,3,2024-11-02
Amen Thompson,HOU,18,11,4,2024-11-02
Malik Monk,SAC,21,4,4,2024-11-02
Tyrese Maxey,PHI,23,2,6,2024-11-02
Michael Porter,DEN,20,5,2,2024-11-02
Ja Morant,MEM,18,6,12,2024-11-02
Taurean Prince,MIL,16,6,0,2024-11-02
Tyus Jones,PHO,15,5,6,2024-11-02
James Harden,LAC,12,13,7,2024-11-02
Scotty Pippen,MEM,12,4,13,2024-11-02
Payton Pritchard,BOS,22,3,2,2024-11-02
Jonathan Kuminga,GSW,23,6,1,2024-11-02
Alec Burks,MIA,15,3,3,2024-11-02
Gradey Dick,TOR,22,5,2,2024-11-02
Jabari Smith,HOU,21,7,0,2024-11-02
Christian Braun,DEN,17,2,3,2024-11-02
Sam Merrill,CLE,17,1,1,2024-11-02
Julian Strawther,DEN,19,2,0,2024-11-02
Isaac Okoro,CLE,13,8,1,2024-11-02
De'Aaron Fox,SAC,24,6,1,2024-11-02
Harrison Barnes,SAS,14,3,3,2024-11-02
Bradley Beal,PHO,15,7,4,2024-11-02
John Collins,UTA,15,5,5,2024-11-02
Anthony Edwards,MIN,21,5,2,2024-11-02
Julius Randle,MIN,21,5,2,2024-11-02
Jimmy Butler,MIA,18,8,4,2024-11-02
Kevin Durant,PHO,21,9,2,2024-11-02
Johnny Juzang,UTA,17,2,1,2024-11-02
Grayson Allen,PHO,18,2,0,2024-11-02
Keegan Murray,SAC,16,10,2,2024-11-02
Aaron Gordon,DEN,12,6,5,2024-11-02
Jared McCain,PHI,19,4,1,2024-11-02
Anfernee Simons,POR,20,8,6,2024-11-02
Alperen Sengun,HOU,14,10,4,2024-11-02
Jarrett Allen,CLE,15,12,1,2024-11-02
Keyonte George,UTA,16,2,8,2024-11-02
Dalano Banton,POR,12,1,2,2024-11-02
Draymond Green,GSW,14,11,3,2024-11-02
Brandon Miller,CHO,16,4,6,2024-11-02
Deni Avdija,POR,13,6,2,2024-11-02
Darius Garland,CLE,11,3,10,2024-11-02
Donte DiVincenzo,MIN,14,2,2,2024-11-02
Luguentz Dort,OKC,16,4,3,2024-11-02
Victor Wembanyama,SAS,17,6,3,2024-11-02
Jaylen Wells,MEM,15,5,2,2024-11-02
Evan Mobley,CLE,14,7,5,2024-11-02
Jordan Poole,WAS,21,0,3,2024-11-02
Aaron Wiggins,OKC,12,5,2,2024-11-02
Santi Aldama,MEM,10,13,4,2024-11-02
Derrick White,BOS,18,8,2,2024-11-02
Terance Mann,LAC,11,6,2,2024-11-02
Isaiah Joe,OKC,12,2,1,2024-11-02
Josh Green,CHO,12,0,0,2024-11-02
Chet Holmgren,OKC,10,14,4,2024-11-02
Kyle Lowry,PHI,10,3,1,2024-11-02
Jakob Poeltl,TOR,13,9,2,2024-11-02
Johnny Davis,WAS,9,7,1,2024-11-02
Jerami Grant,POR,20,7,2,2024-11-02
Andrew Wiggins,GSW,15,3,2,2024-11-02
Zach Edey,MEM,10,10,1,2024-11-02
Jrue Holiday,BOS,13,5,6,2024-11-02
Moses Moody,GSW,9,0,2,2024-11-02
Kevon Looney,GSW,7,7,2,2024-11-02
Jamison Battle,TOR,9,1,3,2024-11-02
Toumani Camara,POR,7,10,1,2024-11-02
Naz Reid,MIN,11,4,2,2024-11-02
Zach Collins,SAS,7,1,5,2024-11-02
Kris Dunn,LAC,11,4,4,2024-11-02
Keon Ellis,SAC,8,1,0,2024-11-02
Terry Rozier,MIA,12,3,4,2024-11-02
Carlton Carrington,WAS,4,4,8,2024-11-02
Sam Hauser,BOS,8,7,1,2024-11-02
Cody Martin,CHO,11,4,1,2024-11-02
Hunter Tyson,DEN,7,4,4,2024-11-02
Kelly Oubre,PHI,14,4,0,2024-11-02
Tyler Herro,MIA,15,6,1,2024-11-02
Fred VanVleet,HOU,11,3,5,2024-11-02
Cason Wallace,OKC,7,4,1,2024-11-02
Eric Gordon,PHI,10,1,2,2024-11-02
Jalen Williams,OKC,15,7,4,2024-11-02
Guerschon Yabusele,PHI,9,3,0,2024-11-02
Deandre Ayton,POR,10,13,2,2024-11-02
Trayce Jackson-Davis,GSW,6,3,3,2024-11-02
Rudy Gobert,MIN,10,3,1,2024-11-02
Aaron Holiday,HOU,6,0,4,2024-11-02
Miles Bridges,CHO,6,8,5,2024-11-02
Ivica Zubac,LAC,9,12,0,2024-11-02
Kyle Anderson,GSW,9,3,2,2024-11-02
Mike Conley,MIN,5,3,3,2024-11-02
Thomas Bryant,MIA,4,9,0,2024-11-02
Brandin Podziemski,GSW,12,5,6,2024-11-02
Julian Champagnie,SAS,7,6,3,2024-11-02
Caleb Martin,PHI,9,3,3,2024-11-02
Drew Eubanks,UTA,5,6,1,2024-11-02
Tre Mann,CHO,10,1,3,2024-11-02
